,title,company,location,job_desc,date_posted,date_scrapped,salary,job_url
0,Lead Data Scientist (Remote),Boclips,London,Are you ready to shape the future of media-rich learning experiences for students around the world?   Boclips has big ambitions. We’ve built an AI-led product that is transforming …,None,2022-05-19,"£90,000 per year",https://www.careerjet.co.za/jobad/gb514a18cd3f25776eee7728c15fd7d459
1,Head of Data Science| Remote | £80K - £110k | Greenfield | E-commerce |Machine Learning|,Opus Recruitment Solutions,South East England,"Hampshire, United Kingdom   Permanent  £80000 - £110000 per annum Head of Data | Remote | £80K - £110k | Greenfield  PowerBI | Machine Learning |Data Modelling | Data warehousing |…",18 days ago,2022-05-19,"£80,000-110,000 per year",https://www.careerjet.co.za/jobad/gb4dbe27d5a0507d6f8ec9f0c602f1061d
2,Cost Engineer (Life Sciences/Pharma/Data Centres),Turner & Townsend,Newcastle,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb257e728bea456ca51d49db93ffa45a98
3,Project Controls Engineer - Planning (Life Sciences/Pharma/Data Centres),Turner & Townsend,Manchester,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gbb1b7fb4de18d4967572a26ccf3dbadeb
4,Project Controls Engineer - Planning (Life Sciences/Pharma/Data Centres),Turner & Townsend,Newcastle,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gbf3e2a6e65762f87cc6b2565cb9044d6a
5,Senior Project Controls Manager - (Life Sciences/Pharma/Data Centres),Turner & Townsend,Manchester,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb29c21fee9a6a142f3bbe31a9c9bf7416
6,Project Controls Manager (Life Sciences/Pharma/Data Centres),Turner & Townsend,Manchester,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb1a2211f82a2650d0634c8bd68effd704
7,Cost Engineer (Life Sciences/Pharma/Data Centres),Turner & Townsend,Manchester,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gbb19d464271717e9846f745c1184b748b
8,Project Controls Manager (Life Sciences/Pharma/Data Centres),Turner & Townsend,Newcastle,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb235658e1f9123d6ef91526510cf25b43
9,Consumer and Retail Data Science Lead,causaLens,London,Summary   causaLens are the pioneers of Causal AI — a giant leap in machine intelligence.   We build Causal AI-powered products that are trusted by leading organizations across a w…,4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb7668aa90e15f3ce9ee43009090889166
10,Research Fellow in Data Science for Mobile Health with Wearable Devices,King's College London,London,"Job description * This post plays a key role in the development and delivery of a specific task in the prestigious EU IMI-funded large programme of autism research, AIMS-2-TRIALS. …",1 day ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb389d5945ad9cc5754e86833e6c1cf301
11,Research Fellow in Data Science for Mobile Health with wearable devices,King's College London,"Strand, Central London","Job description   This post plays a key role in the development and delivery of a specific task in the prestigious EU IMI-funded large programme of autism research, AIMS-2-TRIALS. …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gba4ba26178e236e2326118f394699c7af
12,Senior Data Engineer | Spark | Scala | AWS | Remote,Method Resourcing,London,"Senior Data Engineer | Scala | Spark | AWS | Remote | £80,000 - £100,000   Are you on the search for a new opportunity in Data Engineering?   This is an exciting opportunity to joi…",2 days ago,2022-05-19,"£80,000-100,000 per year",https://www.careerjet.co.za/jobad/gb8d2fb92790f246b783c57b64aba30dbb
13,Consumer and Retail Data Science Lead,causaLens,London,Consumer and Retail Data Science Lead   Job description   Summary   causaLens are the pioneers of Causal AI - a giant leap in machine intelligence.   We build Causal AI-powered pro…,4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb399d3cbfac04435f77815c7afac9e35f
14,"Senior Data Engineer - Europe, Remote",Plentific,London,"Plentific is one of the fastest growing property technology companies in the world, backed by renowned investors including Brookfield, Highland Europe, A/O Proptech, Target Global …",3 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb62857f4f89a9379433b7af1d7de16fa4
15,"Senior Data Engineer - UK, Remote",Plentific,London,"Plentific is one of the fastest growing property technology companies in the world, backed by renowned investors including Brookfield, Highland Europe, A/O Proptech, Target Global …",3 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gbb184ee3d82f66d302ce4cc97937c35d7
16,Data Science (Business Analyst ) - Bristol,Rise Technical Recruitment,Bristol Area,"£35,000 - £55,000 + Technical Progression + Pension + Holidays + Private Health Insurance + Bonus  Bristol - Hybrid/ Remote   Exciting opportunity for an Data Analyst (Business Ana…",7 days ago,2022-05-19,"£35,000-55,000 per year",https://www.careerjet.co.za/jobad/gb300fa83a327e9953fa2f911a2cb70372
17,Data Science Graduate Career Accelerator,Bluetownonline,London,Data Science Graduate Career Accelerator   Key information   Location: Fully remote   Average salary: £33K+ upon completion   You must be based in the UK and have at least 30 month…,4 days ago,2022-05-19,"£33,000 per year",https://www.careerjet.co.za/jobad/gbe9de1df77e59f98e62cb53db98e6dd31
18,Data Science Engineering Manager,Tessian,London,"We're building intelligent security that works for human beings as they are, not how security policies would like them to be. Using machine learning technology, Tessian automatical…",6 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gbe57b4f4ffbe70b44ff837c76bcd1a83e
19,"Senior Data Engineer - UK, Remote",Plentific,London,"Job Description:   Plentific is one of the fastest growing property technology companies in the world, backed by renowned investors including Brookfield, Highland Europe, A/O Propt…",2 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb331d82c40ab51e8c7d0071ead56d206d
20,Lead Data Scientist (Remote),Boclips,London,Are you ready to shape the future of media-rich learning experiences for students around the world?   Boclips has big ambitions. We’ve built an AI-led product that is transforming …,None,2022-05-19,"£90,000 per year",https://www.careerjet.co.za/jobad/gb514a18cd3f25776eee7728c15fd7d459
21,Head of Data Science| Remote | £80K - £110k | Greenfield | E-commerce |Machine Learning|,Opus Recruitment Solutions,South East England,"Hampshire, United Kingdom   Permanent  £80000 - £110000 per annum Head of Data | Remote | £80K - £110k | Greenfield  PowerBI | Machine Learning |Data Modelling | Data warehousing |…",18 days ago,2022-05-19,"£80,000-110,000 per year",https://www.careerjet.co.za/jobad/gb4dbe27d5a0507d6f8ec9f0c602f1061d
22,Cost Engineer (Life Sciences/Pharma/Data Centres),Turner & Townsend,Newcastle,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb257e728bea456ca51d49db93ffa45a98
23,Project Controls Engineer - Planning (Life Sciences/Pharma/Data Centres),Turner & Townsend,Manchester,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gbb1b7fb4de18d4967572a26ccf3dbadeb
24,Project Controls Engineer - Planning (Life Sciences/Pharma/Data Centres),Turner & Townsend,Newcastle,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gbf3e2a6e65762f87cc6b2565cb9044d6a
25,Senior Project Controls Manager - (Life Sciences/Pharma/Data Centres),Turner & Townsend,Manchester,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb29c21fee9a6a142f3bbe31a9c9bf7416
26,Project Controls Manager (Life Sciences/Pharma/Data Centres),Turner & Townsend,Manchester,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb1a2211f82a2650d0634c8bd68effd704
27,Cost Engineer (Life Sciences/Pharma/Data Centres),Turner & Townsend,Manchester,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gbb19d464271717e9846f745c1184b748b
28,Project Controls Manager (Life Sciences/Pharma/Data Centres),Turner & Townsend,Newcastle,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb235658e1f9123d6ef91526510cf25b43
29,Consumer and Retail Data Science Lead,causaLens,London,Summary   causaLens are the pioneers of Causal AI — a giant leap in machine intelligence.   We build Causal AI-powered products that are trusted by leading organizations across a w…,4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb7668aa90e15f3ce9ee43009090889166
30,Research Fellow in Data Science for Mobile Health with Wearable Devices,King's College London,London,"Job description * This post plays a key role in the development and delivery of a specific task in the prestigious EU IMI-funded large programme of autism research, AIMS-2-TRIALS. …",1 day ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb389d5945ad9cc5754e86833e6c1cf301
31,Research Fellow in Data Science for Mobile Health with wearable devices,King's College London,"Strand, Central London","Job description   This post plays a key role in the development and delivery of a specific task in the prestigious EU IMI-funded large programme of autism research, AIMS-2-TRIALS. …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gba4ba26178e236e2326118f394699c7af
32,Senior Data Engineer | Spark | Scala | AWS | Remote,Method Resourcing,London,"Senior Data Engineer | Scala | Spark | AWS | Remote | £80,000 - £100,000   Are you on the search for a new opportunity in Data Engineering?   This is an exciting opportunity to joi…",2 days ago,2022-05-19,"£80,000-100,000 per year",https://www.careerjet.co.za/jobad/gb8d2fb92790f246b783c57b64aba30dbb
33,Consumer and Retail Data Science Lead,causaLens,London,Consumer and Retail Data Science Lead   Job description   Summary   causaLens are the pioneers of Causal AI - a giant leap in machine intelligence.   We build Causal AI-powered pro…,4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb399d3cbfac04435f77815c7afac9e35f
34,"Senior Data Engineer - Europe, Remote",Plentific,London,"Plentific is one of the fastest growing property technology companies in the world, backed by renowned investors including Brookfield, Highland Europe, A/O Proptech, Target Global …",3 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb62857f4f89a9379433b7af1d7de16fa4
35,"Senior Data Engineer - UK, Remote",Plentific,London,"Plentific is one of the fastest growing property technology companies in the world, backed by renowned investors including Brookfield, Highland Europe, A/O Proptech, Target Global …",3 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gbb184ee3d82f66d302ce4cc97937c35d7
36,Data Science (Business Analyst ) - Bristol,Rise Technical Recruitment,Bristol Area,"£35,000 - £55,000 + Technical Progression + Pension + Holidays + Private Health Insurance + Bonus  Bristol - Hybrid/ Remote   Exciting opportunity for an Data Analyst (Business Ana…",7 days ago,2022-05-19,"£35,000-55,000 per year",https://www.careerjet.co.za/jobad/gb300fa83a327e9953fa2f911a2cb70372
37,Data Science Graduate Career Accelerator,Bluetownonline,London,Data Science Graduate Career Accelerator   Key information   Location: Fully remote   Average salary: £33K+ upon completion   You must be based in the UK and have at least 30 month…,4 days ago,2022-05-19,"£33,000 per year",https://www.careerjet.co.za/jobad/gbe9de1df77e59f98e62cb53db98e6dd31
38,Data Science Engineering Manager,Tessian,London,"We're building intelligent security that works for human beings as they are, not how security policies would like them to be. Using machine learning technology, Tessian automatical…",6 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gbe57b4f4ffbe70b44ff837c76bcd1a83e
39,"Senior Data Engineer - UK, Remote",Plentific,London,"Job Description:   Plentific is one of the fastest growing property technology companies in the world, backed by renowned investors including Brookfield, Highland Europe, A/O Propt…",2 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb331d82c40ab51e8c7d0071ead56d206d
40,Lead Data Scientist (Remote),Boclips,London,Are you ready to shape the future of media-rich learning experiences for students around the world?   Boclips has big ambitions. We’ve built an AI-led product that is transforming …,None,2022-05-19,"£90,000 per year",https://www.careerjet.co.za/jobad/gb514a18cd3f25776eee7728c15fd7d459
41,Head of Data Science| Remote | £80K - £110k | Greenfield | E-commerce |Machine Learning|,Opus Recruitment Solutions,South East England,"Hampshire, United Kingdom   Permanent  £80000 - £110000 per annum Head of Data | Remote | £80K - £110k | Greenfield  PowerBI | Machine Learning |Data Modelling | Data warehousing |…",18 days ago,2022-05-19,"£80,000-110,000 per year",https://www.careerjet.co.za/jobad/gb4dbe27d5a0507d6f8ec9f0c602f1061d
42,Cost Engineer (Life Sciences/Pharma/Data Centres),Turner & Townsend,Newcastle,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb257e728bea456ca51d49db93ffa45a98
43,Project Controls Engineer - Planning (Life Sciences/Pharma/Data Centres),Turner & Townsend,Manchester,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gbb1b7fb4de18d4967572a26ccf3dbadeb
44,Project Controls Engineer - Planning (Life Sciences/Pharma/Data Centres),Turner & Townsend,Newcastle,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gbf3e2a6e65762f87cc6b2565cb9044d6a
45,Senior Project Controls Manager - (Life Sciences/Pharma/Data Centres),Turner & Townsend,Manchester,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb29c21fee9a6a142f3bbe31a9c9bf7416
46,Project Controls Manager (Life Sciences/Pharma/Data Centres),Turner & Townsend,Manchester,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb1a2211f82a2650d0634c8bd68effd704
47,Cost Engineer (Life Sciences/Pharma/Data Centres),Turner & Townsend,Manchester,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gbb19d464271717e9846f745c1184b748b
48,Project Controls Manager (Life Sciences/Pharma/Data Centres),Turner & Townsend,Newcastle,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb235658e1f9123d6ef91526510cf25b43
49,Consumer and Retail Data Science Lead,causaLens,London,Summary   causaLens are the pioneers of Causal AI — a giant leap in machine intelligence.   We build Causal AI-powered products that are trusted by leading organizations across a w…,4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb7668aa90e15f3ce9ee43009090889166
50,Research Fellow in Data Science for Mobile Health with Wearable Devices,King's College London,London,"Job description * This post plays a key role in the development and delivery of a specific task in the prestigious EU IMI-funded large programme of autism research, AIMS-2-TRIALS. …",1 day ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb389d5945ad9cc5754e86833e6c1cf301
51,Research Fellow in Data Science for Mobile Health with wearable devices,King's College London,"Strand, Central London","Job description   This post plays a key role in the development and delivery of a specific task in the prestigious EU IMI-funded large programme of autism research, AIMS-2-TRIALS. …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gba4ba26178e236e2326118f394699c7af
52,Senior Data Engineer | Spark | Scala | AWS | Remote,Method Resourcing,London,"Senior Data Engineer | Scala | Spark | AWS | Remote | £80,000 - £100,000   Are you on the search for a new opportunity in Data Engineering?   This is an exciting opportunity to joi…",2 days ago,2022-05-19,"£80,000-100,000 per year",https://www.careerjet.co.za/jobad/gb8d2fb92790f246b783c57b64aba30dbb
53,Consumer and Retail Data Science Lead,causaLens,London,Consumer and Retail Data Science Lead   Job description   Summary   causaLens are the pioneers of Causal AI - a giant leap in machine intelligence.   We build Causal AI-powered pro…,4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb399d3cbfac04435f77815c7afac9e35f
54,"Senior Data Engineer - Europe, Remote",Plentific,London,"Plentific is one of the fastest growing property technology companies in the world, backed by renowned investors including Brookfield, Highland Europe, A/O Proptech, Target Global …",3 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb62857f4f89a9379433b7af1d7de16fa4
55,"Senior Data Engineer - UK, Remote",Plentific,London,"Plentific is one of the fastest growing property technology companies in the world, backed by renowned investors including Brookfield, Highland Europe, A/O Proptech, Target Global …",3 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gbb184ee3d82f66d302ce4cc97937c35d7
56,Data Science (Business Analyst ) - Bristol,Rise Technical Recruitment,Bristol Area,"£35,000 - £55,000 + Technical Progression + Pension + Holidays + Private Health Insurance + Bonus  Bristol - Hybrid/ Remote   Exciting opportunity for an Data Analyst (Business Ana…",7 days ago,2022-05-19,"£35,000-55,000 per year",https://www.careerjet.co.za/jobad/gb300fa83a327e9953fa2f911a2cb70372
57,Data Science Graduate Career Accelerator,Bluetownonline,London,Data Science Graduate Career Accelerator   Key information   Location: Fully remote   Average salary: £33K+ upon completion   You must be based in the UK and have at least 30 month…,4 days ago,2022-05-19,"£33,000 per year",https://www.careerjet.co.za/jobad/gbe9de1df77e59f98e62cb53db98e6dd31
58,Data Science Engineering Manager,Tessian,London,"We're building intelligent security that works for human beings as they are, not how security policies would like them to be. Using machine learning technology, Tessian automatical…",6 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gbe57b4f4ffbe70b44ff837c76bcd1a83e
59,"Senior Data Engineer - UK, Remote",Plentific,London,"Job Description:   Plentific is one of the fastest growing property technology companies in the world, backed by renowned investors including Brookfield, Highland Europe, A/O Propt…",2 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb331d82c40ab51e8c7d0071ead56d206d
60,Lead Data Scientist (Remote),Boclips,London,Are you ready to shape the future of media-rich learning experiences for students around the world?   Boclips has big ambitions. We’ve built an AI-led product that is transforming …,None,2022-05-19,"£90,000 per year",https://www.careerjet.co.za/jobad/gb514a18cd3f25776eee7728c15fd7d459
61,Head of Data Science| Remote | £80K - £110k | Greenfield | E-commerce |Machine Learning|,Opus Recruitment Solutions,South East England,"Hampshire, United Kingdom   Permanent  £80000 - £110000 per annum Head of Data | Remote | £80K - £110k | Greenfield  PowerBI | Machine Learning |Data Modelling | Data warehousing |…",18 days ago,2022-05-19,"£80,000-110,000 per year",https://www.careerjet.co.za/jobad/gb4dbe27d5a0507d6f8ec9f0c602f1061d
62,Cost Engineer (Life Sciences/Pharma/Data Centres),Turner & Townsend,Newcastle,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb257e728bea456ca51d49db93ffa45a98
63,Project Controls Engineer - Planning (Life Sciences/Pharma/Data Centres),Turner & Townsend,Manchester,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gbb1b7fb4de18d4967572a26ccf3dbadeb
64,Project Controls Engineer - Planning (Life Sciences/Pharma/Data Centres),Turner & Townsend,Newcastle,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gbf3e2a6e65762f87cc6b2565cb9044d6a
65,Senior Project Controls Manager - (Life Sciences/Pharma/Data Centres),Turner & Townsend,Manchester,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb29c21fee9a6a142f3bbe31a9c9bf7416
66,Project Controls Manager (Life Sciences/Pharma/Data Centres),Turner & Townsend,Manchester,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb1a2211f82a2650d0634c8bd68effd704
67,Cost Engineer (Life Sciences/Pharma/Data Centres),Turner & Townsend,Manchester,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gbb19d464271717e9846f745c1184b748b
68,Project Controls Manager (Life Sciences/Pharma/Data Centres),Turner & Townsend,Newcastle,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb235658e1f9123d6ef91526510cf25b43
69,Consumer and Retail Data Science Lead,causaLens,London,Summary   causaLens are the pioneers of Causal AI — a giant leap in machine intelligence.   We build Causal AI-powered products that are trusted by leading organizations across a w…,4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb7668aa90e15f3ce9ee43009090889166
70,Research Fellow in Data Science for Mobile Health with Wearable Devices,King's College London,London,"Job description * This post plays a key role in the development and delivery of a specific task in the prestigious EU IMI-funded large programme of autism research, AIMS-2-TRIALS. …",1 day ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb389d5945ad9cc5754e86833e6c1cf301
71,Research Fellow in Data Science for Mobile Health with wearable devices,King's College London,"Strand, Central London","Job description   This post plays a key role in the development and delivery of a specific task in the prestigious EU IMI-funded large programme of autism research, AIMS-2-TRIALS. …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gba4ba26178e236e2326118f394699c7af
72,Senior Data Engineer | Spark | Scala | AWS | Remote,Method Resourcing,London,"Senior Data Engineer | Scala | Spark | AWS | Remote | £80,000 - £100,000   Are you on the search for a new opportunity in Data Engineering?   This is an exciting opportunity to joi…",2 days ago,2022-05-19,"£80,000-100,000 per year",https://www.careerjet.co.za/jobad/gb8d2fb92790f246b783c57b64aba30dbb
73,Consumer and Retail Data Science Lead,causaLens,London,Consumer and Retail Data Science Lead   Job description   Summary   causaLens are the pioneers of Causal AI - a giant leap in machine intelligence.   We build Causal AI-powered pro…,4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb399d3cbfac04435f77815c7afac9e35f
74,"Senior Data Engineer - Europe, Remote",Plentific,London,"Plentific is one of the fastest growing property technology companies in the world, backed by renowned investors including Brookfield, Highland Europe, A/O Proptech, Target Global …",3 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb62857f4f89a9379433b7af1d7de16fa4
75,"Senior Data Engineer - UK, Remote",Plentific,London,"Plentific is one of the fastest growing property technology companies in the world, backed by renowned investors including Brookfield, Highland Europe, A/O Proptech, Target Global …",3 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gbb184ee3d82f66d302ce4cc97937c35d7
76,Data Science (Business Analyst ) - Bristol,Rise Technical Recruitment,Bristol Area,"£35,000 - £55,000 + Technical Progression + Pension + Holidays + Private Health Insurance + Bonus  Bristol - Hybrid/ Remote   Exciting opportunity for an Data Analyst (Business Ana…",7 days ago,2022-05-19,"£35,000-55,000 per year",https://www.careerjet.co.za/jobad/gb300fa83a327e9953fa2f911a2cb70372
77,Data Science Graduate Career Accelerator,Bluetownonline,London,Data Science Graduate Career Accelerator   Key information   Location: Fully remote   Average salary: £33K+ upon completion   You must be based in the UK and have at least 30 month…,4 days ago,2022-05-19,"£33,000 per year",https://www.careerjet.co.za/jobad/gbe9de1df77e59f98e62cb53db98e6dd31
78,Data Science Engineering Manager,Tessian,London,"We're building intelligent security that works for human beings as they are, not how security policies would like them to be. Using machine learning technology, Tessian automatical…",6 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gbe57b4f4ffbe70b44ff837c76bcd1a83e
79,"Senior Data Engineer - UK, Remote",Plentific,London,"Job Description:   Plentific is one of the fastest growing property technology companies in the world, backed by renowned investors including Brookfield, Highland Europe, A/O Propt…",2 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb331d82c40ab51e8c7d0071ead56d206d
80,Lead Data Scientist (Remote),Boclips,London,Are you ready to shape the future of media-rich learning experiences for students around the world?   Boclips has big ambitions. We’ve built an AI-led product that is transforming …,None,2022-05-19,"£90,000 per year",https://www.careerjet.co.za/jobad/gb514a18cd3f25776eee7728c15fd7d459
81,Head of Data Science| Remote | £80K - £110k | Greenfield | E-commerce |Machine Learning|,Opus Recruitment Solutions,South East England,"Hampshire, United Kingdom   Permanent  £80000 - £110000 per annum Head of Data | Remote | £80K - £110k | Greenfield  PowerBI | Machine Learning |Data Modelling | Data warehousing |…",18 days ago,2022-05-19,"£80,000-110,000 per year",https://www.careerjet.co.za/jobad/gb4dbe27d5a0507d6f8ec9f0c602f1061d
82,Cost Engineer (Life Sciences/Pharma/Data Centres),Turner & Townsend,Newcastle,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb257e728bea456ca51d49db93ffa45a98
83,Project Controls Engineer - Planning (Life Sciences/Pharma/Data Centres),Turner & Townsend,Manchester,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gbb1b7fb4de18d4967572a26ccf3dbadeb
84,Project Controls Engineer - Planning (Life Sciences/Pharma/Data Centres),Turner & Townsend,Newcastle,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gbf3e2a6e65762f87cc6b2565cb9044d6a
85,Senior Project Controls Manager - (Life Sciences/Pharma/Data Centres),Turner & Townsend,Manchester,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb29c21fee9a6a142f3bbe31a9c9bf7416
86,Project Controls Manager (Life Sciences/Pharma/Data Centres),Turner & Townsend,Manchester,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb1a2211f82a2650d0634c8bd68effd704
87,Cost Engineer (Life Sciences/Pharma/Data Centres),Turner & Townsend,Manchester,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gbb19d464271717e9846f745c1184b748b
88,Project Controls Manager (Life Sciences/Pharma/Data Centres),Turner & Townsend,Newcastle,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb235658e1f9123d6ef91526510cf25b43
89,Consumer and Retail Data Science Lead,causaLens,London,Summary   causaLens are the pioneers of Causal AI — a giant leap in machine intelligence.   We build Causal AI-powered products that are trusted by leading organizations across a w…,4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb7668aa90e15f3ce9ee43009090889166
