,title,company,location,job_desc,date_posted,date_scrapped,salary,job_url
156,Data Science (Business Analyst ) - Bristol,Rise Technical Recruitment,Bristol Area,"£35,000 - £55,000 + Technical Progression + Pension + Holidays + Private Health Insurance + Bonus  Bristol - Hybrid/ Remote   Exciting opportunity for an Data Analyst (Business Ana…",7 days ago,2022-05-19,"£35,000-55,000 per year",https://www.careerjet.co.za/jobad/gb300fa83a327e9953fa2f911a2cb70372
157,Data Science Graduate Career Accelerator,Bluetownonline,London,Data Science Graduate Career Accelerator   Key information   Location: Fully remote   Average salary: £33K+ upon completion   You must be based in the UK and have at least 30 month…,4 days ago,2022-05-19,"£33,000 per year",https://www.careerjet.co.za/jobad/gbe9de1df77e59f98e62cb53db98e6dd31
158,Data Science Engineering Manager,Tessian,London,"We're building intelligent security that works for human beings as they are, not how security policies would like them to be. Using machine learning technology, Tessian automatical…",6 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gbe57b4f4ffbe70b44ff837c76bcd1a83e
159,"Senior Data Engineer - UK, Remote",Plentific,London,"Job Description:   Plentific is one of the fastest growing property technology companies in the world, backed by renowned investors including Brookfield, Highland Europe, A/O Propt…",2 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb331d82c40ab51e8c7d0071ead56d206d
160,Lead Data Scientist (Remote),Boclips,London,Are you ready to shape the future of media-rich learning experiences for students around the world?   Boclips has big ambitions. We’ve built an AI-led product that is transforming …,None,2022-05-19,"£90,000 per year",https://www.careerjet.co.za/jobad/gb514a18cd3f25776eee7728c15fd7d459
161,Head of Data Science| Remote | £80K - £110k | Greenfield | E-commerce |Machine Learning|,Opus Recruitment Solutions,South East England,"Hampshire, United Kingdom   Permanent  £80000 - £110000 per annum Head of Data | Remote | £80K - £110k | Greenfield  PowerBI | Machine Learning |Data Modelling | Data warehousing |…",18 days ago,2022-05-19,"£80,000-110,000 per year",https://www.careerjet.co.za/jobad/gb4dbe27d5a0507d6f8ec9f0c602f1061d
162,Cost Engineer (Life Sciences/Pharma/Data Centres),Turner & Townsend,Newcastle,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb257e728bea456ca51d49db93ffa45a98
163,Project Controls Engineer - Planning (Life Sciences/Pharma/Data Centres),Turner & Townsend,Manchester,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gbb1b7fb4de18d4967572a26ccf3dbadeb
164,Project Controls Engineer - Planning (Life Sciences/Pharma/Data Centres),Turner & Townsend,Newcastle,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gbf3e2a6e65762f87cc6b2565cb9044d6a
165,Senior Project Controls Manager - (Life Sciences/Pharma/Data Centres),Turner & Townsend,Manchester,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb29c21fee9a6a142f3bbe31a9c9bf7416
166,Project Controls Manager (Life Sciences/Pharma/Data Centres),Turner & Townsend,Manchester,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb1a2211f82a2650d0634c8bd68effd704
